Participant,replicate,front-back,left-right,top-bottom,role,grid,black_animal_C,blue_animal_C,red_animal_C
C,01,B,L,B,receiver,C8,0,0,0
C,01,B,L,B,receiver,D8,0,0,0
C,01,B,L,B,receiver,E8,1,0,0
C,01,B,L,B,receiver,F8,0,0,1
C,01,B,L,B,receiver,A9,0,1,0
C,01,B,L,B,receiver,B9,1,0,0
C,01,B,L,B,receiver,C9,0,0,0
C,01,B,L,B,receiver,D9,0,0,0
C,01,B,L,B,receiver,E9,1,0,0
C,01,B,L,B,receiver,F9,0,0,0
C,01,B,L,B,receiver,A10,0,0,0
C,01,B,L,B,receiver,B10,0,0,1
C,01,B,L,B,receiver,C10,0,0,0
C,01,B,L,B,receiver,D10,1,0,0
C,01,B,L,B,receiver,E10,0,1,0
C,01,B,L,B,receiver,F10,0,0,0
C,01,B,L,B,receiver,A11,1,0,0
C,01,B,L,B,receiver,B11,0,0,0
C,01,B,L,B,receiver,C11,1,0,0
C,01,B,L,B,receiver,D11,0,1,0
C,01,B,L,B,receiver,E11,0,0,0
C,01,B,L,B,receiver,F11,0,0,0
C,01,B,L,B,receiver,A12,0,0,0
C,01,B,L,B,receiver,B12,0,0,0
C,01,B,L,B,receiver,C12,1,0,0
C,01,B,L,B,receiver,D12,0,0,0
C,01,B,L,B,receiver,E12,1,0,0
C,01,B,L,B,receiver,F12,0,0,0
C,01,B,L,B,receiver,A13,0,0,0
C,01,B,L,B,receiver,B13,0,0,0
C,01,B,L,B,receiver,C13,0,0,0
C,01,B,L,B,receiver,D13,0,0,0
C,01,B,L,B,receiver,E13,0,0,0
C,01,B,L,B,receiver,F13,0,0,0
C,01,B,L,B,receiver,A14,0,0,0
C,01,B,L,B,receiver,B14,0,0,0
C,01,B,L,B,receiver,C14,1,1,0
C,01,B,L,B,receiver,D14,0,0,0
C,01,B,L,B,receiver,E14,0,0,0
C,01,B,L,B,receiver,F14,0,0,0
C,01,B,L,B,receiver,A15,1,0,0
C,01,B,L,B,receiver,B15,0,0,1
C,01,B,L,B,receiver,C15,0,1,0
C,01,B,L,B,receiver,D15,0,0,0
C,01,B,L,B,receiver,E15,0,0,0
C,01,B,L,B,receiver,F15,0,1,0
C,01,B,L,B,receiver,A16,0,0,0
C,01,B,L,B,receiver,B16,0,0,0
C,01,B,L,B,receiver,C16,0,0,0
C,01,B,L,B,receiver,D16,0,0,0
C,01,B,L,B,receiver,E16,0,0,1
C,01,B,L,B,receiver,F16,0,0,0
C,01,B,L,B,receiver,A17,0,0,0
C,01,B,L,B,receiver,B17,0,0,0
C,01,B,L,B,receiver,C17,0,0,0
C,01,B,L,B,receiver,D17,0,0,0
C,01,B,L,B,receiver,E17,0,0,0
C,01,B,L,B,receiver,F17,0,0,0
C,01,B,L,B,receiver,A18,1,0,0
C,01,B,L,B,receiver,B18,0,0,0
C,01,B,L,B,receiver,C18,0,0,0
C,01,B,L,B,receiver,D18,0,0,0
C,01,B,L,B,receiver,E18,0,0,0
C,01,B,L,B,receiver,F18,0,0,0
C,01,B,L,B,receiver,A19,0,0,0
C,01,B,L,B,receiver,B19,0,0,0
C,01,B,L,B,receiver,C19,0,0,0
C,01,B,L,B,receiver,D19,0,0,0
C,01,B,L,B,receiver,E19,1,0,0
C,01,B,L,B,receiver,F19,0,0,1
C,01,B,L,B,receiver,A20,0,0,0
C,01,B,L,B,receiver,B20,0,0,0
C,01,B,L,B,receiver,C20,0,0,1
C,01,B,L,B,receiver,D20,0,0,0
C,01,B,L,B,receiver,E20,0,0,0
C,01,B,L,B,receiver,F20,0,0,0
C,01,B,L,B,receiver,A21,0,0,0
C,01,B,L,B,receiver,B21,0,0,0
C,01,B,L,B,receiver,C21,0,1,0
C,01,B,L,B,receiver,D21,0,0,0
C,01,B,L,B,receiver,E21,0,0,0
C,01,B,L,B,receiver,F21,0,0,0
C,01,B,L,B,receiver,A22,0,0,0
C,01,B,L,B,receiver,B22,0,0,0
C,01,B,L,B,receiver,C22,0,1,0
C,01,B,L,B,receiver,D22,0,0,0
C,01,B,L,B,receiver,E22,0,0,0
C,01,B,L,B,receiver,F22,0,0,0
C,01,B,L,B,receiver,A23,0,0,0
C,01,B,L,B,receiver,B23,0,0,0
C,01,B,L,B,receiver,C23,0,0,0
C,01,B,L,B,receiver,D23,0,0,0
C,01,B,L,B,receiver,E23,0,0,0
C,01,B,L,B,receiver,F23,0,0,0
C,01,B,L,B,receiver,A24,0,0,0
C,01,B,L,B,receiver,B24,0,0,0
C,01,B,L,B,receiver,C24,0,0,0
C,01,B,L,B,receiver,D24,0,0,0
